dimension,task_id,principle_match,rich_sut,lean_sut,answer,rich_cost,lean_cost,cost_gap,cost_ratio,rich_steps,lean_steps,rich_input_tokens,lean_input_tokens,input_gap,rich_total_tokens,lean_total_tokens,same_code,code_similarity,wf_ops,wf_links
mode,legal-hard-7,True,DataflowSystemGPT52Delta7kSchemaOnly,DataflowSystemGPT52Latest7kSchemaOnly,Bank Account,0.0334,0.015565,0.017834999999999997,1.1458400256986827,7,5,44332,28926,15406,45741,29518,False,0.09158960810215765,3,2
sample,wildfire-easy-3,True,DataflowSystemGPT52Latest7kSchemaOnly,DataflowSystemGPT52Latest5kSchemaOnly,"['California', 'Nevada']",0.046418,0.028888,0.01753,0.6068263638881196,7,6,65734,48109,17625,66852,48954,False,0.22709424083769633,5,4
sample,legal-hard-24,True,DataflowSystemGPT52Delta5kSchemaOnly,DataflowSystemGPT52Delta3kSchemaOnly,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",0.058856,0.041398,0.017458,0.42171119377747723,5,5,40267,36800,3467,42044,38469,False,0.31233062330623307,7,6
info,astronomy-easy-5,True,DataflowSystemGPT52DeltaStats3kD2,DataflowSystemGPT52Delta3kSchemaOnly,2,0.043443,0.026448,0.016995000000000003,0.6425816696914702,6,5,48338,36833,11505,50050,37718,False,0.07922310247891644,3,2
mode,legal-hard-14,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52LatestStats7kD2,"['Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area', 'Providence-Warwick, RI-MA Metropolitan Statistical Area', 'Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area', 'Bridgeport-Stamford-Danbury, CT Metropolitan Statistical Area', 'Worcester, MA Metropolitan Statistical Area']",0.044325,0.028032,0.016293000000000002,0.581228595890411,5,5,37186,35628,1558,38339,36748,False,0.1035184646699622,4,3
info,legal-hard-30,True,DataflowSystemGPT52DeltaStats5kD2,DataflowSystemGPT52Delta5kSchemaOnly,No,0.050681,0.03489,0.015791,0.45259386643737465,6,6,50068,44835,5233,51332,46014,False,0.20747396365121504,5,4
sample,legal-hard-7,True,DataflowSystemGPT52Delta7kSchemaOnly,DataflowSystemGPT52Delta5kSchemaOnly,Bank Account,0.0334,0.017713,0.015687,0.8856207305368938,7,5,44332,26912,17420,45741,27578,False,0.12028204064703442,3,2
info,legal-hard-22,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52Delta7kSchemaOnly,0.0555,0.053563,0.038093,0.015469999999999998,0.40611135904234363,7,7,54670,54737,-67,55795,55627,False,0.14831981460023175,5,4
sample,legal-hard-6,True,DataflowSystemGPT52Latest5kSchemaOnly,DataflowSystemGPT52Latest3kSchemaOnly,1.1413,0.032703,0.017311,0.015392000000000003,0.8891456299462771,5,5,26809,28929,-2120,27349,29631,False,0.44340505144995324,3,2
sample,biomedical-easy-6,True,DataflowSystemGPT52Latest5kSchemaOnly,DataflowSystemGPT52Latest3kSchemaOnly,IA,0.030385,0.015506,0.014878999999999998,0.9595640397265573,6,5,33363,30344,3019,33883,30769,False,0.6352530541012217,3,1
mode,legal-hard-30,True,DataflowSystemGPT52DeltaStats5kD2,DataflowSystemGPT52LatestStats5kD2,No,0.050681,0.036066,0.014614999999999996,0.40522930183552364,6,6,50068,50798,-730,51332,52050,False,0.25667627281460137,5,4
sample,wildfire-hard-20,True,DataflowSystemGPT52Latest7kSchemaOnly,DataflowSystemGPT52Latest5kSchemaOnly,0.0465,0.046743,0.032498,0.014245,0.438334666748723,7,7,56590,49708,6882,57391,50611,False,0.1517121803207629,5,3
sample,legal-hard-14,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52DeltaStats5kD2,"['Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area', 'Providence-Warwick, RI-MA Metropolitan Statistical Area', 'Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area', 'Bridgeport-Stamford-Danbury, CT Metropolitan Statistical Area', 'Worcester, MA Metropolitan Statistical Area']",0.044325,0.030211,0.014114000000000005,0.46718082817516815,5,4,37186,27292,9894,38339,28472,False,0.09607731665719159,4,3
sample,wildfire-hard-4,True,DataflowSystemGPT52Latest5kSchemaOnly,DataflowSystemGPT52Latest3kSchemaOnly,2065.1,0.063477,0.049518,0.013959000000000006,0.2818974918211561,10,9,82180,78904,3276,84448,80354,False,0.30055817947617003,8,5
info,biomedical-easy-2,True,DataflowSystemGPT52LatestStats3kD2,DataflowSystemGPT52Latest3kSchemaOnly,68.5,0.031928,0.01883,0.013097999999999999,0.6955921402018056,6,6,42430,35805,6625,43050,36332,False,0.705511811023622,3,1
info,legal-hard-30,True,DataflowSystemGPT52DeltaStats3kD2,DataflowSystemGPT52Delta3kSchemaOnly,No,0.049202,0.036106,0.013096000000000003,0.36270979892538646,5,7,41184,52483,-11299,43208,53844,False,0.12254831782390838,6,5
info,wildfire-hard-20,True,DataflowSystemGPT52DeltaStats5kD2,DataflowSystemGPT52Delta5kSchemaOnly,0.0465,0.043091,0.030418,0.012672999999999997,0.4166283121835754,7,7,68457,50468,17989,69357,51185,False,0.27979274611398963,5,3
mode,legal-hard-24,True,DataflowSystemGPT52Delta7kSchemaOnly,DataflowSystemGPT52Latest7kSchemaOnly,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",0.066454,0.053809,0.012644999999999997,0.23499786281105384,8,8,79726,70705,9021,82067,72536,False,0.1525607303110011,7,6
sample,environment-hard-18,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52DeltaStats5kD2,True,0.080701,0.068289,0.012411999999999992,0.1817569447495203,4,4,74638,64646,9992,76631,66483,False,0.23094755143436685,12,11
sample,legal-hard-8,True,DataflowSystemGPT52Delta7kSchemaOnly,DataflowSystemGPT52Delta5kSchemaOnly,True,0.03551,0.023149,0.012361,0.5339755496997711,6,5,41837,29833,12004,43075,30551,False,0.22112802148612354,3,2
mode,legal-hard-22,True,DataflowSystemGPT52Delta7kSchemaOnly,DataflowSystemGPT52Latest7kSchemaOnly,0.0555,0.038093,0.02601,0.012083000000000003,0.4645520953479433,7,7,54737,49074,5663,55627,49996,False,0.17248295226634577,5,4
sample,astronomy-easy-5,True,DataflowSystemGPT52Delta7kSchemaOnly,DataflowSystemGPT52Delta3kSchemaOnly,2,0.038511,0.026448,0.012062999999999997,0.45610254083484564,5,5,47784,36833,10951,49069,37718,False,0.052083333333333336,3,2
info,biomedical-hard-3,True,DataflowSystemGPT52DeltaStats3kD2,DataflowSystemGPT52Delta3kSchemaOnly,60,0.05108,0.039095,0.011985000000000003,0.30656094129684114,8,8,79955,62033,17922,80910,63105,False,0.3764705882352941,5,3
sample,environment-easy-4,True,DataflowSystemGPT52LatestStats7kD2,DataflowSystemGPT52LatestStats3kD2,86,0.047942,0.036252,0.011689999999999999,0.3224649674500717,6,6,83194,61560,21634,84096,62488,False,0.0827129859387924,8,7
sample,legal-hard-22,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52DeltaStats3kD2,0.0555,0.053563,0.041881,0.011681999999999998,0.27893316778491434,7,7,54670,48319,6351,55795,49245,False,0.2323203635330872,5,4
mode,archeology-easy-10,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52LatestStats7kD2,Singapore,0.023192,0.011888,0.011304000000000002,0.9508748317631227,4,4,28430,26387,2043,28664,26573,False,0.6847662141779789,2,1
sample,legal-hard-22,True,DataflowSystemGPT52Delta7kSchemaOnly,DataflowSystemGPT52Delta5kSchemaOnly,0.0555,0.038093,0.026969,0.011124000000000002,0.4124735807779303,7,7,54737,44873,9864,55627,45683,False,0.14668218859138532,5,4
sample,wildfire-easy-2,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52DeltaStats5kD2,EACC,0.044964,0.033938,0.011025999999999994,0.32488655784076825,7,6,78121,58315,19806,79142,59109,False,0.5647469458987784,5,4
mode,wildfire-hard-4,True,DataflowSystemGPT52DeltaStats3kD2,DataflowSystemGPT52LatestStats3kD2,2065.1,0.056685,0.045664,0.011020999999999996,0.24134985984583032,7,6,60038,46476,13562,62227,48133,False,0.14417435037720033,7,4
sample,legal-easy-11,True,DataflowSystemGPT52Delta7kSchemaOnly,DataflowSystemGPT52Delta5kSchemaOnly,No,0.027504,0.016778,0.010726,0.6392895458338299,6,5,39838,28072,11766,40826,28555,False,0.15648148148148147,3,2
sample,environment-easy-5,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52DeltaStats3kD2,Ashburnham,0.038345,0.027662,0.010682999999999998,0.3861976718964644,4,4,48345,36682,11663,49188,37399,False,0.12930667800935772,5,4
sample,archeology-easy-10,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52DeltaStats3kD2,Singapore,0.023192,0.012538,0.010654,0.849736800127612,4,4,28430,24718,3712,28664,24943,False,0.404227212681638,2,1
sample,environment-hard-20,True,DataflowSystemGPT52DeltaStats5kD2,DataflowSystemGPT52DeltaStats3kD2,"['Bucks Creek', 'Pleasant Street', 'Forest Street']",0.05162,0.041027,0.010592999999999998,0.2581958222633875,6,4,79801,41748,38053,81073,42988,False,0.15863066538090645,8,7
info,biomedical-easy-6,True,DataflowSystemGPT52LatestStats3kD2,DataflowSystemGPT52Latest3kSchemaOnly,IA,0.026016,0.015506,0.01051,0.6778021411066684,6,5,42532,30344,12188,43077,30769,False,0.7562097516099356,3,1
sample,legal-easy-11,True,DataflowSystemGPT52Delta7kSchemaOnly,DataflowSystemGPT52Delta3kSchemaOnly,No,0.027504,0.017062,0.010442,0.6120032821474621,6,5,39838,30460,9378,40826,30996,False,0.1164534627260697,3,2
info,legal-hard-22,True,DataflowSystemGPT52DeltaStats3kD2,DataflowSystemGPT52Delta3kSchemaOnly,0.0555,0.041881,0.031675,0.010206,0.3222099447513812,7,7,48319,45745,2574,49245,46667,False,0.14237743451981194,5,4
info,environment-hard-20,True,DataflowSystemGPT52DeltaStats5kD2,DataflowSystemGPT52Delta5kSchemaOnly,"['Bucks Creek', 'Pleasant Street', 'Forest Street']",0.05162,0.041547,0.010072999999999999,0.2424483115507738,6,4,79801,44503,35298,81073,45695,False,0.33729953440248317,8,7
info,wildfire-hard-20,True,DataflowSystemGPT52DeltaStats3kD2,DataflowSystemGPT52Delta3kSchemaOnly,0.0465,0.041151,0.031453,0.009697999999999998,0.3083330683877531,7,7,64745,50189,14556,65884,51202,False,0.2005044136191677,5,3
sample,wildfire-easy-1,True,DataflowSystemGPT52Latest7kSchemaOnly,DataflowSystemGPT52Latest5kSchemaOnly,7805421,0.038422,0.029043,0.009378999999999998,0.32293495850979576,8,6,53450,35940,17510,54654,36546,False,0.08478802992518704,3,1
mode,legal-hard-22,True,DataflowSystemGPT52Delta3kSchemaOnly,DataflowSystemGPT52Latest3kSchemaOnly,0.0555,0.031675,0.022704,0.008971000000000003,0.3951286116983793,7,7,45745,43574,2171,46667,44357,False,0.1555221637866266,5,4
mode,wildfire-hard-11,True,DataflowSystemGPT52Delta5kSchemaOnly,DataflowSystemGPT52Latest5kSchemaOnly,Wyoming,0.020038,0.011114,0.008924,0.8029512326795033,4,4,22676,21557,1119,22972,21845,False,0.16455696202531644,2,1
sample,legal-easy-25,True,DataflowSystemGPT52Delta5kSchemaOnly,DataflowSystemGPT52Delta3kSchemaOnly,U.S. Space Force,0.027307,0.018506,0.008801,0.4755754890305846,6,5,36297,30450,5847,37368,31076,False,0.13225152129817444,3,2
mode,legal-hard-7,True,DataflowSystemGPT52Delta3kSchemaOnly,DataflowSystemGPT52Latest3kSchemaOnly,Bank Account,0.028077,0.019318,0.008759000000000003,0.453411326224247,6,5,37217,28914,8303,38372,29718,False,0.09365023057821922,3,2
sample,legal-hard-29,True,DataflowSystemGPT52Delta7kSchemaOnly,DataflowSystemGPT52Delta5kSchemaOnly,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",0.044982,0.036335,0.008647000000000002,0.2379799091784781,8,6,78024,45302,32722,79260,46353,False,0.2744997434581837,6,5
mode,astronomy-hard-10,True,DataflowSystemGPT52Delta3kSchemaOnly,DataflowSystemGPT52Latest3kSchemaOnly,"['Proton_flux_>30_Mev', -0.193]",0.074237,0.065697,0.008539999999999992,0.12999071494893208,7,8,89210,88386,824,91771,90368,False,0.3032730285872117,8,7
info,environment-easy-1,True,DataflowSystemGPT52DeltaStats3kD2,DataflowSystemGPT52Delta3kSchemaOnly,4.796,0.018956,0.010501,0.008455,0.805161413198743,4,4,23584,22420,1164,23862,22686,False,0.8836524300441826,2,1
sample,wildfire-easy-1,True,DataflowSystemGPT52Latest7kSchemaOnly,DataflowSystemGPT52Latest3kSchemaOnly,7805421,0.038422,0.029985,0.008436999999999997,0.28137402034350495,8,6,53450,37080,16370,54654,37726,False,0.3898989898989899,3,1
sample,wildfire-hard-20,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52DeltaStats3kD2,0.0465,0.04951,0.041151,0.008358999999999998,0.2031299360890379,7,7,74861,64745,10116,75923,65884,False,0.1211107393777183,5,3
info,biomedical-hard-3,True,DataflowSystemGPT52LatestStats3kD2,DataflowSystemGPT52Latest3kSchemaOnly,60,0.039198,0.03084,0.008357999999999997,0.2710116731517509,7,7,62693,48263,14430,63733,49257,False,0.4789053591790194,6,3
sample,legal-hard-17,True,DataflowSystemGPT52Latest5kSchemaOnly,DataflowSystemGPT52Latest3kSchemaOnly,32542,0.038716,0.030403,0.008313000000000001,0.2734269644442983,9,7,55589,45813,9776,57065,46794,False,0.13302294645826404,5,4
sample,wildfire-hard-7,True,DataflowSystemGPT52LatestStats7kD2,DataflowSystemGPT52LatestStats3kD2,"Northwest, 2020",0.060289,0.052192,0.008097,0.1551387185775598,9,9,92841,77125,15716,94499,78830,False,0.22349570200573066,8,5
mode,wildfire-easy-15,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52LatestStats7kD2,No,0.045359,0.037399,0.007959999999999995,0.21283991550576203,6,4,54558,35089,19469,55111,35635,False,0.31561461794019935,4,2
sample,legal-easy-13,True,DataflowSystemGPT52Latest7kSchemaOnly,DataflowSystemGPT52Latest3kSchemaOnly,1097.47,0.025494,0.017606,0.007888,0.44802908099511524,6,6,36675,35283,1392,37238,35831,False,0.144745122718691,3,2
sample,environment-easy-5,True,DataflowSystemGPT52LatestStats7kD2,DataflowSystemGPT52LatestStats3kD2,Ashburnham,0.033751,0.025868,0.007883000000000005,0.30473944642028783,4,4,46952,36244,10708,47641,36902,False,0.7035984848484849,5,4
sample,environment-hard-7,True,DataflowSystemGPT52Delta7kSchemaOnly,DataflowSystemGPT52Delta5kSchemaOnly,10.87,0.04564,0.037933,0.007706999999999999,0.20317401734637383,6,6,52317,47015,5302,53199,47822,False,0.581404174573055,5,4
sample,environment-hard-15,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52DeltaStats3kD2,Damon Pond Beach (DCR),0.048727,0.041025,0.0077020000000000005,0.18773918342474102,4,7,49521,69862,-20341,50469,70986,False,0.2745608327911516,8,8
info,archeology-easy-10,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52Delta7kSchemaOnly,Singapore,0.023192,0.015512,0.007680000000000001,0.49510056730273344,4,4,28430,27563,867,28664,27760,False,0.5950653120464441,2,1
sample,legal-hard-24,True,DataflowSystemGPT52Delta7kSchemaOnly,DataflowSystemGPT52Delta5kSchemaOnly,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",0.066454,0.058856,0.007598000000000001,0.12909473970368357,8,5,79726,40267,39459,82067,42044,False,0.2675300063171194,7,6
mode,legal-easy-19,True,DataflowSystemGPT52DeltaStats3kD2,DataflowSystemGPT52LatestStats3kD2,0.523,0.021359,0.013791,0.007568,0.5487636864621855,5,4,30735,23410,7325,31414,23888,False,0.1958041958041958,2,1
mode,environment-easy-1,True,DataflowSystemGPT52DeltaStats3kD2,DataflowSystemGPT52LatestStats3kD2,4.796,0.018956,0.011404,0.007552000000000001,0.6622237811294285,4,4,23584,23731,-147,23862,23984,False,0.5519379844961241,2,1
info,legal-easy-25,True,DataflowSystemGPT52DeltaStats3kD2,DataflowSystemGPT52Delta3kSchemaOnly,U.S. Space Force,0.026013,0.018506,0.007507,0.40565222090132924,6,5,39700,30450,9250,40570,31076,False,0.2729389846297159,3,2
mode,wildfire-easy-3,True,DataflowSystemGPT52Delta5kSchemaOnly,DataflowSystemGPT52Latest5kSchemaOnly,"['California', 'Nevada']",0.036363,0.028888,0.007474999999999999,0.25875796178343946,7,6,57201,48109,9092,58293,48954,False,0.1778682959945689,5,4
sample,wildfire-hard-7,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52DeltaStats3kD2,"Northwest, 2020",0.071978,0.064528,0.007449999999999998,0.11545375650880235,8,8,73404,65051,8353,75389,67332,False,0.1020026702269693,6,3
sample,environment-hard-7,True,DataflowSystemGPT52Latest7kSchemaOnly,DataflowSystemGPT52Latest5kSchemaOnly,10.87,0.029704,0.022281,0.0074230000000000025,0.333153808177371,5,5,38385,35641,2744,39035,36363,False,0.5858407079646017,4,3
sample,wildfire-hard-20,True,DataflowSystemGPT52Latest5kSchemaOnly,DataflowSystemGPT52Latest3kSchemaOnly,0.0465,0.032498,0.025292,0.007206000000000001,0.28491222520955245,7,7,49708,48475,1233,50611,49219,False,0.15191053122087605,5,3
info,wildfire-easy-15,True,DataflowSystemGPT52DeltaStats5kD2,DataflowSystemGPT52Delta5kSchemaOnly,No,0.026123,0.018959,0.007164,0.377868031014294,5,5,38476,30194,8282,38974,30654,False,0.6005946481665014,3,1
info,wildfire-hard-16,True,DataflowSystemGPT52DeltaStats5kD2,DataflowSystemGPT52Delta5kSchemaOnly,"[6.326, 0.787]",0.031383,0.024239,0.007144000000000001,0.2947316308428566,6,6,50114,39681,10433,50757,40297,False,0.3944037308461026,4,2
mode,wildfire-easy-3,True,DataflowSystemGPT52Delta3kSchemaOnly,DataflowSystemGPT52Latest3kSchemaOnly,"['California', 'Nevada']",0.055989,0.048967,0.0070220000000000005,0.14340269977740114,7,9,55813,68738,-12925,57386,70325,False,0.1451231859601755,6,5
sample,archeology-easy-6,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52DeltaStats3kD2,São Paulo,0.018908,0.011887,0.007021000000000001,0.5906452427021116,4,4,26240,24076,2164,26485,24306,False,0.3244929797191888,2,1
info,biomedical-easy-6,True,DataflowSystemGPT52DeltaStats5kD2,DataflowSystemGPT52Delta5kSchemaOnly,IA,0.023963,0.016958,0.007005000000000001,0.4130793725675198,5,5,41613,29607,12006,42155,30127,False,0.3129251700680272,3,2
sample,wildfire-easy-8,True,DataflowSystemGPT52Latest5kSchemaOnly,DataflowSystemGPT52Latest3kSchemaOnly,Lightning,0.01722,0.010229,0.006990999999999999,0.6834490174992667,4,4,22165,23247,-1082,22410,23491,False,0.804953560371517,2,1
